order_item_id,order_id,product_id,user_id,quantity,item_price,item_total
1,1,1758,9310,2,8.07,16.14
2,1,1119,9310,1,74.08,74.08
3,1,1794,9310,1,576.97,576.97
4,1,1038,9310,1,22.47,22.47
5,2,859,3247,1,422.22,422.22
6,2,803,3247,1,953.03,953.03
7,2,324,3247,1,60.11,60.11
8,2,454,3247,1,231.49,231.49
9,3,1344,7252,1,103.47,103.47
10,3,919,7252,1,33.99,33.99
11,3,1030,7252,2,263.8,527.6
12,4,684,8986,1,26.34,26.34
13,4,1139,8986,2,264.04,528.08
14,4,1247,8986,2,67.54,135.08
15,5,637,8537,1,4.87,4.87
16,5,1684,8537,1,728.97,728.97
17,5,1599,8537,2,63.33,126.66
18,6,54,3449,3,435.87,1307.61
19,6,1002,3449,3,209.1,627.3
20,6,1857,3449,1,92.99,92.99
21,6,1940,3449,2,115.22,230.44
22,7,4,6985,1,541.41,541.41
23,7,792,6985,1,228.3,228.3
24,8,497,7661,1,15.21,15.21
25,9,1301,610,2,114.51,229.02
26,10,913,3175,1,32.13,32.13
27,10,1655,3175,1,75.5,75.5
28,11,162,4470,1,151.39,151.39
29,11,6,4470,1,18.61,18.61
30,11,1724,4470,1,846.61,846.61
31,12,83,9480,3,126.24,378.72
32,12,22,9480,2,37.65,75.3
33,12,1184,9480,2,64.63,129.26
34,12,1636,9480,1,16.95,16.95
35,13,1563,3631,1,15.87,15.87
36,14,1712,9493,2,260.48,520.96
37,15,1687,3336,1,10.39,10.39
38,15,1005,3336,2,405.41,810.82
39,15,1891,3336,2,56.77,113.54
40,15,234,3336,1,375.37,375.37
41,15,329,3336,1,106.81,106.81
42,16,1897,6392,1,127.42,127.42
43,17,1808,6684,3,49.88,149.64
44,17,1370,6684,2,38.92,77.84
45,18,1510,792,1,93.58,93.58
46,18,1471,792,2,161.15,322.3
47,18,916,792,1,81.74,81.74
48,18,406,792,1,103.54,103.54
49,19,614,4785,1,135.38,135.38
50,20,282,7957,1,154.03,154.03
51,20,1099,7957,1,33.06,33.06
52,20,247,7957,1,10.2,10.2
53,20,514,7957,1,201.55,201.55
54,21,164,2529,1,60.85,60.85
55,21,1540,2529,1,148.66,148.66
56,22,1206,4486,1,531.53,531.53
57,22,4,4486,1,541.41,541.41
58,23,1492,7432,1,119.02,119.02
59,24,58,3345,1,788.21,788.21
60,24,1098,3345,1,15.26,15.26
61,25,952,6241,1,70.34,70.34
62,25,494,6241,2,148.44,296.88
63,25,1686,6241,1,134.71,134.71
64,25,654,6241,1,20.06,20.06
65,26,1694,638,1,34.17,34.17
66,26,797,638,2,9.98,19.96
67,27,251,6102,1,64.82,64.82
68,27,1990,6102,1,431.12,431.12
69,28,1671,7489,1,8.06,8.06
70,28,921,7489,2,47.82,95.64
71,28,1940,7489,2,115.22,230.44
72,29,1874,6599,1,605.36,605.36
73,29,938,6599,3,83.52,250.56
