review_id,order_id,product_id,user_id,rating,review_text,review_date
528,237,1326,1094,2,Color was different from images.,2025-10-14T12:03:56.749
5792,2627,329,1858,4,Highly recommend this brand.,2024-10-09T08:04:50.172
36604,16798,1160,8109,4,Highly recommend this brand.,2024-06-03T05:11:16.787
40163,18414,1427,6835,5,Highly recommend this brand.,2024-02-12T06:41:50.216
31127,14300,1639,7148,3,Item arrived damaged.,2025-01-20T05:32:09.399
12121,5571,545,8471,2,Item arrived damaged.,2025-03-23T06:43:41.296
603,268,1726,5394,4,"Not as expected, quality is poor.",2025-01-01T11:49:13.243
10126,4654,1747,9810,2,"Excellent product, will buy again.",2025-09-07T13:15:38.159
33877,15558,255,4269,4,Decent product for the price.,2024-09-09T21:51:41.345
19035,8786,1146,3737,4,Item arrived damaged.,2025-03-13T01:50:37.078
3469,1572,1532,1968,5,Fast shipping and good packaging.,2025-03-04T07:13:59.922
26357,12147,392,3999,2,Customer service was helpful.,2025-03-08T06:52:03.069
29656,13626,59,751,4,Highly recommend this brand.,2024-07-29T18:57:17.782
15280,7040,613,8311,5,"Not as expected, quality is poor.",2025-11-09T13:42:28.891
24176,11156,1381,7526,5,"Not as expected, quality is poor.",2024-10-05T12:44:41.309
606,270,1724,3564,3,Decent product for the price.,2025-10-03T15:36:52.464
41037,18816,1712,3454,5,Value for money.,2024-02-13T23:19:10.287
40442,18535,799,7464,5,"Excellent product, will buy again.",2025-04-24T09:14:58.819
15247,7026,556,2283,5,"Excellent product, will buy again.",2024-09-20T07:19:18.975
23765,10964,1553,9849,2,Fast shipping and good packaging.,2025-09-14T08:18:56.262
4269,1952,1923,5570,5,Item arrived damaged.,2024-08-19T13:52:25.055
17904,8274,346,8162,3,"Excellent product, will buy again.",2024-07-15T22:48:26.154
32422,14892,350,8682,5,Customer service was helpful.,2024-12-08T01:46:17.402
16010,7394,432,7121,3,Fast shipping and good packaging.,2025-01-28T18:11:19.738
26444,12188,1306,4144,3,Works perfectly!,2024-08-04T08:57:24.594
8465,3872,1472,4495,4,Decent product for the price.,2025-07-25T06:58:21.508
29713,13652,235,4903,2,Value for money.,2024-04-20T10:12:17.125
5102,2325,866,765,5,Highly recommend this brand.,2024-05-22T13:49:44.690
3569,1615,845,4108,2,"Not as expected, quality is poor.",2025-10-25T21:41:08.802
35862,16473,1516,4679,2,Highly recommend this brand.,2025-01-14T18:55:08.654
15152,6982,1087,7112,5,Fast shipping and good packaging.,2025-11-06T19:11:08.836
23167,10687,1829,9789,4,Value for money.,2024-08-06T05:49:52.255
2942,1345,92,4534,3,"Excellent product, will buy again.",2025-07-05T11:23:49.485
42740,19637,1012,5028,3,Fast shipping and good packaging.,2024-01-24T21:14:28.902
6147,2782,1243,7201,4,"Not as expected, quality is poor.",2024-07-10T18:40:56.779
38016,17435,967,612,3,"Excellent product, will buy again.",2025-01-17T01:24:34.403
23675,10919,1423,3737,2,Color was different from images.,2024-10-19T10:56:55.072
42063,19307,604,8051,4,Color was different from images.,2024-02-08T19:58:41.660
8251,3772,818,8082,3,Color was different from images.,2024-01-08T11:47:16.448
29063,13370,589,2435,5,Item arrived damaged.,2025-03-31T21:08:13.404
22965,10596,407,7386,3,Color was different from images.,2024-10-21T06:44:35.217
4484,2044,965,1291,1,Works perfectly!,2025-10-22T12:35:33.447
324,146,950,4487,3,"Not as expected, quality is poor.",2024-01-10T00:13:58.976
32093,14736,1587,36,2,Decent product for the price.,2024-02-13T14:18:38.369
8846,4046,1243,8399,1,Item arrived damaged.,2024-05-18T09:53:43.665
12900,5925,1840,8539,4,Highly recommend this brand.,2024-03-15T05:06:52.741
41921,19237,1475,9147,3,Decent product for the price.,2024-05-30T04:11:47.832
25058,11566,1928,2472,5,Decent product for the price.,2025-04-21T01:14:58.641
19148,8845,1256,5640,5,Highly recommend this brand.,2024-09-04T06:40:05.351
23003,10615,23,9910,4,Customer service was helpful.,2024-11-24T09:45:44.645
29765,13682,509,4805,2,Highly recommend this brand.,2025-08-26T23:18:31.792
35653,16371,1886,6793,2,Decent product for the price.,2024-09-15T02:40:17.245
8967,4104,1774,3917,5,Decent product for the price.,2024-11-19T20:54:44.672
35481,16296,482,3243,4,Decent product for the price.,2024-01-02T11:07:19.630
16055,7415,851,9316,1,Item arrived damaged.,2024-01-20T03:37:18.225
16789,7753,1591,3375,3,Works perfectly!,2024-06-07T13:38:33.725
25569,11793,1659,7172,5,Decent product for the price.,2025-11-14T10:50:00.401
34176,15686,436,1047,3,Highly recommend this brand.,2025-03-10T14:17:03.870
16556,7647,1922,8062,4,Customer service was helpful.,2025-01-21T06:10:19.779
5585,2543,1775,6773,3,Works perfectly!,2025-11-05T21:58:15.711
37971,17416,1617,1833,3,Highly recommend this brand.,2024-12-11T08:16:35.105
31237,14345,348,4310,3,Customer service was helpful.,2025-07-21T14:45:32.196
34011,15612,1968,4687,2,Highly recommend this brand.,2024-08-07T05:45:21.255
16635,7683,302,814,2,"Not as expected, quality is poor.",2024-06-23T22:40:50.942
19587,9059,1525,2,3,"Not as expected, quality is poor.",2024-10-14T11:05:49.705
21639,9989,324,6287,5,Item arrived damaged.,2024-03-29T17:39:05.588
4415,2013,274,6339,3,Customer service was helpful.,2024-10-10T23:41:55.939
15117,6967,1726,8527,3,"Not as expected, quality is poor.",2024-01-19T14:21:10.684
39547,18133,1465,9969,1,Highly recommend this brand.,2024-01-09T17:08:00.489
26689,12283,1493,8612,3,Customer service was helpful.,2024-07-26T10:05:08.081
38070,17459,1353,7897,5,Item arrived damaged.,2025-07-12T11:15:09.234
26305,12119,1936,8113,3,Color was different from images.,2025-01-08T21:34:52.729
13316,6126,76,7902,4,"Not as expected, quality is poor.",2025-11-07T19:16:25.139
27487,12642,1116,1152,5,Customer service was helpful.,2025-05-13T03:52:58.407
39803,18255,1564,4501,3,"Excellent product, will buy again.",2025-09-12T13:02:27.849
43417,19957,386,3704,2,Color was different from images.,2024-08-26T17:51:45.766
