product_id,quantity,supplier,supplier_contact
1,166,Astra,restock.astra@gmail.com
2,435,NeoTech,order@neotechsolutions.com
3,287,Acme,restock.acme123@outlook.com
4,319,Nimbus,replenish.nimbus@cloudmail.net
5,468,Astra,restock.astra@gmail.com
6,417,NeoTech,order@neotechsolutions.com
7,320,Zenith,supply.zenith@zenithworks.com
8,199,Everest,order.everest@businessmail.com
9,149,Harbor,restock.habor99@yahoo.com
10,308,Orion,restock@orionteam.com
11,413,GreenLeaf,orders.greenleaf@naturemail.com
12,179,GreenLeaf,orders.greenleaf@naturemail.com
13,332,Harbor,restock.habor99@yahoo.com
14,342,Astra,restock.astra@gmail.com
15,417,GreenLeaf,orders.greenleaf@naturemail.com
16,387,Zenith,supply.zenith@zenithworks.com
17,260,Solace,replenish.solace@wellnesshub.com
18,430,Solace,replenish.solace@wellnesshub.com
19,147,Acme,restock.acme123@outlook.com
20,432,Nimbus,replenish.nimbus@cloudmail.net
21,263,Willow,orders.willow@treehouse.com
22,427,Nimbus,replenish.nimbus@cloudmail.net
23,351,Harbor,restock.habor99@yahoo.com
24,294,Harbor,restock.habor99@yahoo.com
25,138,Zenith,supply.zenith@zenithworks.com
26,198,Pulse,supply.pulse@serviceprovider.com
27,233,Willow,orders.willow@treehouse.com
28,151,Astra,restock.astra@gmail.com
29,173,Solace,replenish.solace@wellnesshub.com
30,461,Willow,orders.willow@treehouse.com
31,153,Pulse,supply.pulse@serviceprovider.com
32,371,Orion,restock@orionteam.com
33,195,Pulse,supply.pulse@serviceprovider.com
34,146,Everest,order.everest@businessmail.com
35,357,Everest,order.everest@businessmail.com
36,416,Orion,restock@orionteam.com
37,113,Orion,restock@orionteam.com
38,285,Astra,restock.astra@gmail.com
39,166,NeoTech,order@neotechsolutions.com
40,334,Acme,restock.acme123@outlook.com
41,389,Harbor,restock.habor99@yahoo.com
42,160,NeoTech,order@neotechsolutions.com
43,387,Acme,restock.acme123@outlook.com
44,482,NeoTech,order@neotechsolutions.com
45,381,Nimbus,replenish.nimbus@cloudmail.net
46,224,Pulse,supply.pulse@serviceprovider.com
47,259,Acme,restock.acme123@outlook.com
48,242,NeoTech,order@neotechsolutions.com
49,285,NeoTech,order@neotechsolutions.com
50,208,Everest,order.everest@businessmail.com
51,217,Zenith,supply.zenith@zenithworks.com
52,398,Nimbus,replenish.nimbus@cloudmail.net
53,316,Willow,orders.willow@treehouse.com
54,493,GreenLeaf,orders.greenleaf@naturemail.com
55,335,Astra,restock.astra@gmail.com
56,419,Astra,restock.astra@gmail.com
57,473,Zenith,supply.zenith@zenithworks.com
58,284,Astra,restock.astra@gmail.com
59,170,Orion,restock@orionteam.com
60,202,Nimbus,replenish.nimbus@cloudmail.net
61,240,Astra,restock.astra@gmail.com
62,305,Willow,orders.willow@treehouse.com
63,492,Pulse,supply.pulse@serviceprovider.com
64,164,NeoTech,order@neotechsolutions.com
65,252,Astra,restock.astra@gmail.com
66,323,GreenLeaf,orders.greenleaf@naturemail.com
67,341,Acme,restock.acme123@outlook.com
68,454,Acme,restock.acme123@outlook.com
69,343,Harbor,restock.habor99@yahoo.com
70,375,Solace,replenish.solace@wellnesshub.com
71,305,Willow,orders.willow@treehouse.com
72,186,GreenLeaf,orders.greenleaf@naturemail.com
73,116,Harbor,restock.habor99@yahoo.com
74,144,Willow,orders.willow@treehouse.com
75,475,Everest,order.everest@businessmail.com
76,240,Nimbus,replenish.nimbus@cloudmail.net
77,212,Solace,replenish.solace@wellnesshub.com
78,228,Willow,orders.willow@treehouse.com
79,157,Orion,restock@orionteam.com
80,108,Acme,restock.acme123@outlook.com
81,452,Zenith,supply.zenith@zenithworks.com
82,365,Acme,restock.acme123@outlook.com
83,398,Harbor,restock.habor99@yahoo.com
84,393,Orion,restock@orionteam.com
85,324,Astra,restock.astra@gmail.com
86,170,Orion,restock@orionteam.com
87,436,Pulse,supply.pulse@serviceprovider.com
88,382,Everest,order.everest@businessmail.com
89,480,Harbor,restock.habor99@yahoo.com
90,351,Pulse,supply.pulse@serviceprovider.com
91,372,Orion,restock@orionteam.com
92,310,Willow,orders.willow@treehouse.com
93,320,NeoTech,order@neotechsolutions.com
94,389,Solace,replenish.solace@wellnesshub.com
95,488,NeoTech,order@neotechsolutions.com
96,103,Orion,restock@orionteam.com
97,195,Zenith,supply.zenith@zenithworks.com
98,400,Nimbus,replenish.nimbus@cloudmail.net
99,481,GreenLeaf,orders.greenleaf@naturemail.com
100,453,Nimbus,replenish.nimbus@cloudmail.net
101,166,Willow,orders.willow@treehouse.com
102,170,Pulse,supply.pulse@serviceprovider.com
103,362,Harbor,restock.habor99@yahoo.com
104,219,Solace,replenish.solace@wellnesshub.com
